"ph","om","clay","sand","silt","bd","hb","n","alpha","ksat","lambda","theta_r","theta_s","subject","longitude","latitude"
6.33439493179321,0.552173495292664,16.033332824707,24.2472972869873,48.1253662109375,1.15427041053772,0.337677836418152,1.32879269123077,-0.338869392871857,0.337194532155991,0.312406182289124,0.0582987405359745,0.564426302909851,1,-77.9491,42.9486
5.67285823822021,0.459657520055771,12.2071504592896,31.3577003479004,39.2007789611816,1.19190573692322,0.313704550266266,1.3551025390625,-0.307890653610229,0.2925865650177,0.326666653156281,0.0534849986433983,0.550224304199219,2,-78.3109,43.0905
6.17430400848389,0.556335270404816,16.9535675048828,24.9858512878418,48.0809631347656,1.1442244052887,0.339271903038025,1.33310127258301,-0.346328109502792,0.314591348171234,0.314561605453491,0.0575957223773003,0.568217277526855,3,-77.9497,42.916
6.12836170196533,0.494248032569885,13.3591003417969,32.8529434204102,41.6178207397461,1.1819099187851,0.296249359846115,1.35727024078369,-0.289278745651245,0.331879854202271,0.332450240850449,0.0525475703179836,0.553996324539185,4,-77.9499,42.9171
6.01327610015869,0.521933615207672,13.9398822784424,32.3939666748047,40.6611328125,1.19632709026337,0.289070606231689,1.35142683982849,-0.282634139060974,0.343612611293793,0.328086316585541,0.054678950458765,0.548555791378021,5,-77.967,42.9488
6.20507335662842,0.612941443920135,21.346529006958,13.7632102966309,51.8935546875,1.06822443008423,0.354406952857971,1.31376707553864,-0.353867202997208,0.129292905330658,0.30001026391983,0.0598773136734962,0.596896469593048,6,-78.4526,43.0962
5.9131555557251,0.480043888092041,12.0631732940674,34.845100402832,40.575122833252,1.17849612236023,0.219700872898102,1.375244140625,-0.219608217477798,0.459572494029999,0.33342981338501,0.0510252416133881,0.55528450012207,7,-78.2526,43.0146
5.8822193145752,0.508616805076599,13.2906074523926,30.2224922180176,41.917236328125,1.15868890285492,0.300807058811188,1.35044038295746,-0.291780829429626,0.355402737855911,0.327111691236496,0.0538525693118572,0.562758922576904,8,-78.0022,42.9354
5.9131555557251,0.480043888092041,12.0631732940674,34.845100402832,40.575122833252,1.17849612236023,0.219700872898102,1.375244140625,-0.219608217477798,0.459572494029999,0.33342981338501,0.0510252416133881,0.55528450012207,9,-78.2526,43.0146
6.19988679885864,0.696309864521027,11.6730213165283,24.5927734375,34.9847640991211,1.27575898170471,0.411173760890961,1.34719777107239,-0.411718755960464,0.533143699169159,0.326834321022034,0.0481380000710487,0.518581509590149,10,-78.3122,43.0743
6.08132743835449,0.534687221050262,14.2441625595093,25.7379531860352,45.076171875,1.1908016204834,0.299736976623535,1.34400045871735,-0.294168293476105,0.289017051458359,0.322796195745468,0.0547339841723442,0.550640940666199,11,-78.3095,43.0865
6.17152786254883,0.607656240463257,22.8395309448242,14.3917064666748,51.2341156005859,1.09147202968597,0.361513137817383,1.30942988395691,-0.361502408981323,0.126966178417206,0.295864284038544,0.0626432746648788,0.588123798370361,12,-78.4508,43.0963
6.3553466796875,0.794307947158813,17.625,20.9340171813965,46.509765625,1.27332019805908,0.482089757919312,1.30723547935486,-0.477399796247482,0.422336220741272,0.297524452209473,0.0621865876019001,0.519501805305481,13,-78.2757,42.9999
6.3553466796875,0.794307947158813,17.625,20.9340171813965,46.509765625,1.27332019805908,0.482089757919312,1.30723547935486,-0.477399796247482,0.422336220741272,0.297524452209473,0.0621865876019001,0.519501805305481,14,-78.2757,42.9999
6.19781589508057,0.556857347488403,17.4073181152344,22.0058822631836,47.7419509887695,1.1417692899704,0.323603808879852,1.32931292057037,-0.319256365299225,0.237949281930923,0.312310934066772,0.0563643425703049,0.569143712520599,15,-78.3808,43.0835
5.94900321960449,0.532629311084747,12.9897155761719,31.2544021606445,47.7777252197266,1.17330718040466,0.305066764354706,1.3533935546875,-0.304868549108505,0.362699329853058,0.329157561063766,0.052622564136982,0.557242572307587,16,-78.3499,43.0247
5.86656188964844,0.489662766456604,13.4550342559814,28.2251434326172,39.9608612060547,1.18313109874725,0.303872644901276,1.34543454647064,-0.298669278621674,0.25172159075737,0.323011219501495,0.0538299530744553,0.553535461425781,17,-78.1274,43.0996
5.95114088058472,0.508206248283386,12.9721946716309,32.6972808837891,39.8714599609375,1.19480395317078,0.274791061878204,1.36410808563232,-0.273307263851166,0.351503312587738,0.332057625055313,0.0529592223465443,0.54913055896759,18,-77.9483,42.9585
6.11060762405396,0.525753438472748,15.3836755752563,29.4931488037109,45.0861053466797,1.15417647361755,0.301417648792267,1.34476828575134,-0.300703108310699,0.282291531562805,0.322215557098389,0.0540503896772861,0.564461708068848,19,-78.0452,43.034
5.95410585403442,0.534366488456726,15.3602151870728,26.6955032348633,45.5950050354004,1.14992189407349,0.315986931324005,1.33764696121216,-0.318708419799805,0.300479143857956,0.318703532218933,0.0564373135566711,0.566067218780518,20,-77.948011,42.951849
5.83962821960449,0.516827940940857,12.3658180236816,32.423454284668,43.2368431091309,1.21473586559296,0.320713430643082,1.35090517997742,-0.321622669696808,0.39170640707016,0.327482461929321,0.0530485436320305,0.541609168052673,21,-77.919624,42.95801
5.81187343597412,0.46245613694191,13.57421875,35.2339782714844,39.2380256652832,1.19913721084595,0.23679706454277,1.3686888217926,-0.238982379436493,0.244763255119324,0.332092761993408,0.0522101148962975,0.547495365142822,22,-78.51702,43.15477
6.11063957214355,0.51635479927063,13.6943082809448,30.0555572509766,45.0459899902344,1.17148733139038,0.23225100338459,1.36240220069885,-0.22790652513504,0.386211484670639,0.328833341598511,0.0526783242821693,0.557929337024689,23,-78.6311,43.20692
